iter	MultiClass
359	0.1153346358
360	0.1152626233
361	0.1150317256
362	0.114890775
363	0.1146679355
364	0.1145464053
365	0.1144181506
366	0.1142423788
367	0.1140801943
368	0.1138669852
369	0.1136834452
370	0.1135301964
371	0.1133260542
372	0.1132633223
373	0.1131306887
374	0.1128944481
375	0.1126640704
376	0.112428629
377	0.1122460273
378	0.1120433758
379	0.1119396302
380	0.1117136031
381	0.1115573696
382	0.1112588158
383	0.1111396218
384	0.1109354919
385	0.1106712781
386	0.1105556181
387	0.1103802233
388	0.1103279892
389	0.1100638647
390	0.1099078183
391	0.1096494985
392	0.1094961559
393	0.1092883548
394	0.1090734039
395	0.1088705304
396	0.1087600014
397	0.1085913554
398	0.1083810491
399	0.1082222753
400	0.1080523734
401	0.1079430881
402	0.1077720019
403	0.1076111401
404	0.1074092045
405	0.1072868585
406	0.1071725305
407	0.1069780509
408	0.106851827
409	0.1066570486
410	0.1065062528
411	0.1064018924
412	0.1061546762
413	0.1059950911
414	0.105794672
415	0.1057257995
416	0.1055860951
417	0.1055111656
418	0.1051984665
419	0.105005397
420	0.1048796073
421	0.1046574489
422	0.1044495206
423	0.1043147033
424	0.1040892016
425	0.1039193153
426	0.10385046
427	0.1036789716
428	0.1033791789
429	0.1032172201
430	0.1028911232
431	0.1027308762
432	0.1025922852
433	0.1024942946
434	0.1023233936
435	0.1022052282
436	0.1020589017
437	0.101940585
438	0.1018510071
439	0.1016850107
440	0.1015910473
441	0.1014539371
442	0.1013740842
443	0.1012394182
444	0.1011031084
445	0.1009105857
446	0.1007716852
447	0.1007189072
448	0.1005027883
449	0.1004256917
450	0.1003149773
451	0.1001677696
452	0.09993780359
453	0.09980947649
454	0.09971035263
455	0.09963432801
456	0.09949526663
457	0.09935803077
458	0.09926696709
459	0.09919875933
460	0.09912160289
461	0.0990377841
462	0.09894990886
463	0.09886713453
464	0.09868313743
465	0.09857911138
466	0.09837629225
467	0.09815004024
468	0.09806761584
469	0.09787104388
470	0.09779225052
471	0.09770936179
472	0.09758879335
473	0.09752333528
474	0.09739355066
475	0.0972306741
476	0.09703576825
477	0.09696889279
478	0.09686274198
479	0.0967205389
480	0.0965776409
481	0.09650201901
482	0.09636509232
483	0.09628836189
484	0.09621547828
485	0.09613429464
486	0.09597631258
487	0.09590871416
488	0.09573142738
489	0.09563375246
490	0.0955492195
491	0.09538648016
492	0.09517424762
493	0.09489587812
494	0.09477176884
495	0.09455311149
496	0.09448972766
497	0.09428603344
498	0.09415884229
499	0.0940705038
500	0.09395860393
501	0.09380306102
502	0.09363197377
503	0.0934403118
504	0.09336235947
505	0.09318586954
506	0.09306038049
507	0.09293730339
508	0.09282668257
509	0.09275931076
510	0.09260135386
511	0.09238953715
512	0.09229525125
513	0.09220881904
514	0.09211458582
515	0.09195906179
516	0.09179036129
517	0.09170656722
518	0.09148205645
519	0.09132181692
520	0.09122019231
521	0.09110045622
522	0.09095676872
523	0.09084934568
524	0.09075821616
525	0.09063435351
526	0.09043490897
527	0.09025312575
528	0.09005613398
529	0.08997616407
530	0.08987758031
531	0.08977693024
532	0.08969704194
533	0.08956847002
534	0.08941424197
535	0.08922001903
536	0.08902608627
537	0.08882759007
538	0.08873602077
539	0.08861330441
540	0.08843629761
541	0.08837849988
542	0.08830443741
543	0.08812090224
544	0.08797151312
545	0.08787150455
546	0.08776868719
547	0.087638092
548	0.0874781012
549	0.08729806991
550	0.08711668667
551	0.08706935225
552	0.0869434407
553	0.08689498888
554	0.08670043791
555	0.08660034899
556	0.08653200375
557	0.08645797867
558	0.08624450089
559	0.086035059
560	0.08589303569
561	0.08579345607
562	0.08564476044
563	0.08542405442
564	0.08535046451
565	0.08520148399
566	0.0850242322
567	0.08472292587
568	0.08463101112
569	0.08457683505
570	0.08447804213
571	0.08440492765
572	0.08431591755
573	0.08422401517
574	0.08416942003
575	0.08400167812
576	0.08391007587
577	0.08377005782
578	0.08369696892
579	0.08358966045
580	0.08346798903
581	0.08341437956
582	0.08335359389
583	0.08322628216
584	0.08310047402
585	0.08300681943
586	0.08285360043
587	0.08272061865
588	0.08261640262
589	0.08245722524
590	0.08237323397
591	0.08226183728
592	0.08215841699
593	0.08201525398
594	0.08193348199
595	0.08180297738
596	0.08174808076
597	0.08153836564
598	0.08145144691
599	0.08137468039
600	0.08117977505
601	0.0811048166
602	0.08100430456
603	0.08093301424
604	0.08082471269
605	0.08070165094
606	0.0805068012
607	0.08040416084
608	0.08028748489
609	0.08012962221
610	0.07998210781
611	0.07984534238
612	0.0796985752
613	0.07952280632
614	0.07942874661
615	0.07921586967
616	0.07911961096
617	0.07906102464
618	0.07895456354
619	0.07888913957
620	0.07884711287
621	0.0787798149
622	0.07865561996
623	0.07854652819
624	0.07841310279
625	0.07833579518
626	0.07821784483
627	0.07808997521
628	0.07795683253
629	0.07789435342
630	0.07775268319
631	0.07768587686
632	0.07762218921
633	0.07749375254
634	0.07739818495
635	0.07730573025
636	0.07714523397
637	0.077029879
638	0.07694263405
639	0.07685829477
640	0.07680710497
641	0.07667554788
642	0.07656607495
643	0.07651684769
644	0.07642403482
645	0.07631723414
646	0.07618388331
647	0.07612004189
648	0.07601167781
649	0.07592896033
650	0.0758324776
651	0.07573571736
652	0.07561572724
653	0.07552099435
654	0.07539803434
655	0.07529673023
656	0.07523792858
657	0.07516026133
658	0.07500925941
659	0.07490803274
660	0.07477853901
661	0.07462874235
662	0.07457016417
663	0.07442699911
664	0.07437793949
665	0.0743125528
666	0.07421966836
667	0.07413053976
668	0.0740129522
669	0.07390370947
670	0.07386844999
671	0.07380249771
672	0.07370992233
673	0.07361378566
674	0.07346494412
675	0.07340412769
676	0.07328703663
677	0.07319235157
678	0.07305588337
679	0.07299883693
680	0.07293257706
681	0.07279756422
682	0.0726606036
683	0.0725585919
684	0.07244378432
685	0.07239314912
686	0.07223430588
687	0.07217335746
688	0.07206890798
689	0.07201970278
690	0.07191227401
691	0.07180483935
692	0.07171431845
693	0.07163313201
694	0.07144990964
695	0.07139946415
696	0.07130468891
697	0.07122410512
698	0.07114982567
699	0.07108185369
700	0.0709979663
701	0.07095272452
702	0.0708456126
703	0.07076222997
704	0.07066879096
705	0.07057304163
706	0.07049367002
707	0.07045152399
708	0.07032582475
709	0.07020712705
710	0.07009982922
711	0.07005015756
712	0.07001342091
713	0.06996041594
714	0.06984674891
715	0.06977749746
716	0.06969683527
717	0.06965001585
718	0.06949212675
719	0.06946194583
720	0.06940317752
721	0.06932942783
722	0.06922020536
723	0.06915391924
724	0.06902795435
725	0.06897511936
726	0.06883283346
727	0.06872637954
728	0.06859035266
729	0.068518519
730	0.06841837265
731	0.06830532582
732	0.06819997096
733	0.06811150073
734	0.06800925791
735	0.06794385881
736	0.06788591087
737	0.06777815268
738	0.06768610491
739	0.0675611318
740	0.06746473174
741	0.06743379201
742	0.0673873952
743	0.06732696449
744	0.06725067843
745	0.06719927272
746	0.06710894697
747	0.06702570795
748	0.06700019498
749	0.06689192587
750	0.06681704248
751	0.06676041428
752	0.06670613046
753	0.06666921489
754	0.06659356751
755	0.06654183456
756	0.06640269385
757	0.06634598267
758	0.0662602652
759	0.06618059496
760	0.06608563065
761	0.06604377543
762	0.06598814849
763	0.06587537474
764	0.06581505567
765	0.06567322402
766	0.06557981484
767	0.06545584509
768	0.06538437862
769	0.06531662223
770	0.06526225196
771	0.06515240558
772	0.06506658269
773	0.06499577641
774	0.06488689607
775	0.06484179539
776	0.06477604242
777	0.06467920491
778	0.06460020665
779	0.06452679847
780	0.06445524621
781	0.06436401236
782	0.06431353336
783	0.06425737319
784	0.06420180836
785	0.06414644456
786	0.06405571973
787	0.06398969612
788	0.0639181545
789	0.06386736215
790	0.06377599259
791	0.06370200653
792	0.06363868428
793	0.06356596985
794	0.06354218149
795	0.06345171549
796	0.06336304351
797	0.06327081728
798	0.06316279803
799	0.06310783858
